nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
6,12,539,0.4,0.8461538461538461,-0.14285714285714313,-0.21398591453127552,0.28282569167507093,0,6
6,9,541,0.3,0.6521739130434783,0.03571428571428571,-0.16761509483802184,0.28593138470051976,-0.05,6
6,13,548,0.4333333333333333,0.8666666666666667,-0.13043478260869593,-0.05773502691896485,0.3321889496385763,-0.1818181818181818,6
6,11,552,0.36666666666666664,0.8823529411764706,NA,-0.14291548761875714,0.3710978261844257,0,6
4,6,560,0.5,1,-0.28571428571428586,NA,NA,0,4
6,8,565,0.26666666666666666,0.47368421052631576,-0.14285714285714285,-0.29277002188455997,-0.09543305571897803,-0.04918032786885246,6
6,11,568,0.36666666666666664,0.8823529411764706,NA,NA,0.14053658166314809,0,6
6,5,573,0.16666666666666669,0.6,0.16666666666666682,-0.16666666666665877,0.40824829046386285,-0.19047619047619052,4
6,11,574,0.36666666666666664,0.75,-0.17857142857142846,0,0.02937684328261527,-0.08791208791208788,6
6,14,582,0.4666666666666667,0.9230769230769231,-0.23529411764705896,-0.23924685418841302,0.09466419544956686,-0.1395348837209304,6
6,9,587,0.3,0.7142857142857143,0,0.19425717247145285,0.22251582168979306,0.04545454545454545,6
6,6,597,0.2,0.25,0,NA,-0.3162277660168366,0.03225806451612901,6
6,8,603,0.26666666666666666,0.631578947368421,0,-0.4853569927082001,-0.22942169682516453,-0.01818181818181818,6
6,14,605,0.4666666666666667,0.9230769230769231,0,NA,NA,-0.0845070422535211,6
6,9,606,0.3,0.7142857142857143,-0.28571428571428564,0.5773502691896258,0.326369244253432,-0.3500000000000001,6
6,13,608,0.4333333333333333,0.8181818181818182,0.13333333333333341,-0.10192943828752582,-0.17377351979201125,0.018867924528301896,6
6,14,613,0.4666666666666667,0.9230769230769231,-0.1428571428571428,0.024806946917845872,-0.3320291335471312,0,6
6,11,614,0.36666666666666664,0.7272727272727273,0,-0.09673016668133566,0.09974103498760777,0.0350877192982455,6
6,13,615,0.4333333333333333,0.8666666666666667,-0.13043478260869573,-0.04042260417272389,-0.20440627963781127,-0.05691056910569105,6
6,12,619,0.4,0.7894736842105263,0.027027027027026935,0.23904572186687428,-0.17839375878450967,0.030303030303030276,6
6,15,623,0.5,1,-0.20000000000000004,-0.12499999999999997,0.13163029954009334,0,6
