id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
627,2,NA,3_6_9,0,TRUE,TRUE,TRUE,1,676,5,6,6,2,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
627,2,NA,3_6_9,0,TRUE,TRUE,TRUE,4,vero3_6_9,NA,NA,NA,NA,NA,4,4,3,2,FALSE,4,5,5,2,TRUE
676,4,NA,3_6_9,0,FALSE,TRUE,TRUE,1,627,7,7,7,1,TRUE,7,7,7,1,FALSE,7,7,7,1,TRUE
676,4,NA,3_6_9,0,FALSE,TRUE,TRUE,4,vero3_6_9,NA,NA,NA,NA,NA,7,7,7,1,FALSE,7,7,7,1,TRUE
112,5,NA,2_1_11,0,TRUE,TRUE,TRUE,1,781,4,4,4,2,TRUE,4,4,5,3,TRUE,4,4,4,2,TRUE
112,5,NA,2_1_11,0,TRUE,TRUE,TRUE,4,vero2_1_11,NA,NA,NA,NA,NA,NA,4,2,5,FALSE,2,3,2,4,FALSE
781,5,NA,2_1_11,0,TRUE,TRUE,TRUE,1,112,5,6,7,NA,FALSE,7,7,7,NA,FALSE,7,7,7,1,TRUE
781,5,NA,2_1_11,0,TRUE,TRUE,TRUE,4,vero2_1_11,NA,NA,NA,NA,NA,2,2,3,NA,FALSE,2,2,3,NA,FALSE
115,5,NA,2_2_11,0,TRUE,TRUE,TRUE,1,282,6,6,6,1,TRUE,6,6,6,NA,TRUE,6,6,6,1,TRUE
115,5,NA,2_2_11,0,TRUE,TRUE,TRUE,4,vero2_2_11,NA,NA,NA,NA,NA,3,4,4,1,TRUE,3,5,3,1,TRUE
282,5,NA,2_2_11,0,TRUE,TRUE,TRUE,1,115,7,7,6,1,TRUE,7,7,7,1,TRUE,7,7,7,1,TRUE
282,5,NA,2_2_11,0,TRUE,TRUE,TRUE,4,vero2_2_11,NA,NA,NA,NA,NA,NA,NA,7,NA,TRUE,7,7,7,NA,TRUE
395,4,NA,1_3_11,0,TRUE,TRUE,TRUE,1,825,6,6,6,NA,TRUE,5,6,5,2,TRUE,6,6,6,NA,TRUE
395,4,NA,1_3_11,0,TRUE,TRUE,TRUE,4,vero1_3_11,NA,NA,NA,NA,NA,6,5,6,4,TRUE,6,5,6,1,TRUE
825,4,NA,1_3_11,0,TRUE,TRUE,TRUE,1,395,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
825,4,NA,1_3_11,0,TRUE,TRUE,TRUE,4,vero1_3_11,NA,NA,NA,NA,NA,NA,7,7,NA,TRUE,7,7,7,NA,TRUE
574,4,NA,1_1_12,0,TRUE,TRUE,TRUE,1,172,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
574,4,NA,1_1_12,0,TRUE,TRUE,TRUE,4,vero1_1_12,NA,NA,NA,NA,NA,6,6,7,NA,FALSE,6,6,6,NA,FALSE
