PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
693,4,83,12,9,12,10,9,10,0.979401744,0.976758738,0.977120496,14,22,18,12,15,12,0.982975436,0.986273035,0.983628214,40,56,68,66,48,80
158,4,82,14,17,11,12,10,10,0.982635785,0.984004543,0.979793351,19,30,22,14,23,13,0.984078996,0.987455871,0.98224281,70,50,44,40,42,50
586,4,82,6,3,6,4,3,5,0.982933767,0.96875838,0.97670333,19,30,22,14,23,13,0.984078996,0.987455871,0.98224281,36,82,86,40,42,50
223,4,81,10,10,12,9,7,9,0.980902072,0.979686243,0.984838069,10,17,21,7,12,16,0.984669899,0.983740017,0.984369629,32,64,44,48,52,52
281,4,81,3,3,2,3,3,2,0.964106732,0.968624296,0.957149404,10,17,21,7,12,16,0.984669899,0.983740017,0.984369629,64,74,70,48,52,52
127,4,80,7,28,5,6,19,4,0.987047948,0.983162855,0.970210816,11,32,18,9,20,13,0.98467329,0.987445524,0.982283557,50,70,64,50,44,60
999,4,80,6,15,7,4,8,6,0.976432345,0.976518504,0.971389289,11,32,18,9,20,13,0.98467329,0.987445524,0.982283557,30,68,63,50,44,60
131,4,79,11,9,7,10,8,7,0.981456171,0.972767498,0.969248396,28,29,26,19,21,14,0.986572175,0.986642632,0.983864119,40,84,76,32,38,46
663,4,79,16,16,15,11,12,12,0.982885962,0.980893001,0.976351971,28,29,26,19,21,14,0.986572175,0.986642632,0.983864119,52,70,52,32,38,46
915,4,79,8,36,6,6,21,6,0.991762403,0.984187003,0.975252062,28,29,26,19,21,14,0.986572175,0.986642632,0.983864119,74,66,48,32,38,46
126,4,78,10,8,11,10,6,8,0.977773263,0.970193081,0.973460545,33,34,27,25,23,19,0.987401053,0.986321388,0.985888181,44,72,70,42,40,24
141,4,78,25,21,22,20,16,17,0.983800623,0.987546259,0.987643658,33,34,27,25,23,19,0.987401053,0.986321388,0.985888181,46,66,74,42,40,24
949,4,78,10,11,15,9,9,12,0.986849396,0.978753748,0.980952108,33,34,27,25,23,19,0.987401053,0.986321388,0.985888181,42,78,74,42,40,24
412,4,77,5,7,6,5,6,5,0.97586347,0.987760028,0.975863123,23,27,18,21,18,13,0.986442437,0.98723831,0.983774723,48,88,78,28,40,46
681,4,77,8,24,5,8,13,5,0.972013409,0.987996782,0.974060495,23,27,18,21,18,13,0.986442437,0.98723831,0.983774723,62,90,74,28,40,46
855,4,77,16,14,9,16,10,9,0.982476636,0.989541432,0.990879927,23,27,18,21,18,13,0.986442437,0.98723831,0.983774723,34,56,66,28,40,46
635,4,76,9,5,14,9,4,13,0.97606664,0.965647627,0.978427393,20,21,22,17,15,18,0.983893391,0.98379269,0.98504954,42,74,76,42,44,78
707,4,76,7,10,NA,6,8,NA,0.974284553,0.980070211,NA,20,21,22,17,15,18,0.983893391,0.98379269,0.98504954,58,34,62,42,44,78
729,4,76,10,9,7,8,8,7,0.976466206,0.983829445,0.992405395,20,21,22,17,15,18,0.983893391,0.98379269,0.98504954,70,72,70,42,44,78
